Название вакансии,Компания,Зарплата,Ссылка
Программист 1С,АО Научно-исследовательский институт Экран,"от 200 000 ₽ за месяц, до вычета налогов",https://samara.hh.ru/vacancy/119433535?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Светсервис,Зарплата не указана,https://samara.hh.ru/vacancy/118229292?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист 1С,ООО Информационно-медицинский центр,"80 000 – 120 000 ₽ за месяц, до вычета налогов",https://samara.hh.ru/vacancy/118178650?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,CIT,"1 000 – 1 500 ₽ за час, до вычета налогов",https://samara.hh.ru/vacancy/119316507?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,INSOFT,"от 230 000 ₽ за месяц, на руки",https://samara.hh.ru/vacancy/119026725?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С Middle,ООО Информационно-медицинский центр,"от 170 000 ₽ за месяц, до вычета налогов",https://samara.hh.ru/vacancy/103897083?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-разработчик,ООО Лаборатория Интернет,"до 150 000 ₽ за месяц, на руки",https://samara.hh.ru/vacancy/116735892?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Младший программист 1С,ВИТА,Зарплата не указана,https://samara.hh.ru/vacancy/118631355?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С/Программист 1С (Стажер 1С),ООО Производственная Безопасность и Экология,"50 000 – 80 000 ₽ за месяц, до вычета налогов",https://samara.hh.ru/vacancy/118586121?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
IT/PHP разработчик,ООО Maxmoll,Зарплата не указана,https://samara.hh.ru/vacancy/119002221?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,АО Агрегат,"от 80 000 ₽ за месяц, до вычета налогов",https://samara.hh.ru/vacancy/119893956?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер - программист 1C,ВЕХА,Зарплата не указана,https://samara.hh.ru/vacancy/113698537?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист микроконтроллеров,ООО АйКом,"от 55 000 ₽ за месяц, на руки",https://samara.hh.ru/vacancy/119958853?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист (1С),Филиал ПАО «ОДК-Сатурн»- ОМКБ,"от 120 000 ₽ за месяц, на руки",https://samara.hh.ru/vacancy/119977048?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Старший программист 1С,ВИТА,Зарплата не указана,https://samara.hh.ru/vacancy/119927386?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик (junior),Информ-С,"35 000 – 50 000 ₽ за месяц, на руки",https://samara.hh.ru/vacancy/119162570?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (ERP/УХ),ООО Ракета,Зарплата не указана,https://samara.hh.ru/vacancy/119883063?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (ЗУП),ООО Ракета,Зарплата не указана,https://samara.hh.ru/vacancy/119513124?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С-Битрикс (middle),Original Works,"80 000 – 110 000 ₽ за месяц, на руки",https://samara.hh.ru/vacancy/119294191?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
